Text,Compound,Positive,Negative,Neutral,sentiment
beautiful,0.5994,1.0,0.0,0.0,positive
good good good manage wake up,0.8271,0.744,0.0,0.256,positive
"spacious parking lot, it's really good in the evening dusk",0.4927,0.262,0.0,0.738,positive
Good,0.4404,1.0,0.0,0.0,positive
waterfall beach is really good,0.4927,0.444,0.0,0.556,positive
Good,0.4404,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
"really good, original, iky, calendar photo, using a waterfall background, Laut waterfall, free entry to eat, several photo spots",0.8431,0.362,0.0,0.638,positive
magnificent,0.5994,1.0,0.0,0.0,positive
pretty good,0.7269,1.0,0.0,0.0,positive
"unique waterfall, flow of water, direct sea, waterfall tour, favors the beach, the value of the waterfall, the location of the highway",0.5267,0.18,0.0,0.82,positive
good place dirty sugarcane waste throw away the area smells good smell the clean area happy to run out,0.7579,0.395,0.184,0.421,positive
beautiful,0.5994,1.0,0.0,0.0,positive
easy access roadside location,0.4404,0.492,0.0,0.508,positive
"beautiful, very suitable for spoiled tourists, beautiful eyes, waterfalls, different mountains by the coast",0.8316,0.394,0.0,0.606,positive
"wide parking lot, great view",0.6249,0.506,0.0,0.494,positive
very cool,0.3804,0.722,0.0,0.278,positive
rainy season nice clear water,0.6249,0.621,0.149,0.23,positive
cool culinary entry ticket destinations are really cheap,0.3182,0.247,0.0,0.753,positive
it's really good to have Madura holidays together,0.6997,0.491,0.0,0.509,positive
good sometimes the water is cloudy,0.4404,0.367,0.0,0.633,positive
nice place,0.4215,0.737,0.0,0.263,positive
Madura beautiful waterfall,0.5994,0.661,0.0,0.339,positive
Good,0.4404,1.0,0.0,0.0,positive
waterfall by the beach mandatory spot landscaper longexposure mania,0.0772,0.14,0.0,0.86,positive
calm,0.3182,1.0,0.0,0.0,positive
bagus location fresh but hottest place,0.1655,0.248,0.0,0.752,positive
toro waterfall waterfall direct meet your beach sand quarry toro beach waterfall good tourism madura island darling waterfall beach exhausted sand sd i toro beach nice,0.7906,0.279,0.074,0.647,positive
Good,0.4404,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
nice holiday,0.6705,1.0,0.0,0.0,positive
beautiful exotic fresh water waterfall directly in front of the beach waves,0.7351,0.383,0.0,0.617,positive
"proud waterfall, sampang community, ketapang community, location of development",0.4767,0.279,0.0,0.721,positive
cool waterfall near beach not too crowded people aren't allowed bath waterfall rocks quite slippery gratis entry only pay for parking still lots of small animals hidup beach suka hermit crab little,0.3353,0.111,0.041,0.848,positive
"God, your creation is so beautiful",0.8122,0.737,0.0,0.263,positive
"look cool, the food is delicious",0.7184,0.6,0.0,0.4,positive
care,0.4939,1.0,0.0,0.0,positive
beautiful beautiful,0.8316,1.0,0.0,0.0,positive
definitely mo tidal cool,0.6124,0.714,0.0,0.286,positive
"toro waterfall on the edge of the main road access there is easy, fast, go straight down the waterfall by the beach, the atmosphere is comfortable, cold",0.7964,0.252,0.0,0.748,positive
good sunrise sunset,0.4404,0.592,0.0,0.408,positive
clean water,0.4019,0.73,0.0,0.27,positive
"good, good, good after the rain, the road is slippery, be careful, friend, the parking stall is quite wide",0.8934,0.477,0.064,0.459,positive
handsome,0.4939,1.0,0.0,0.0,positive
culinary fish leeseh great delicious bukber great place,0.9169,0.704,0.0,0.296,positive
beautiful,0.5994,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
beautiful beach view,0.5994,0.661,0.0,0.339,positive
"proud waterfall, sampang community, ketapang community, location of development",0.4767,0.279,0.0,0.721,positive
beautiful from God please take care,0.8885,0.852,0.0,0.148,positive
attract a view of the waterfall beach community activities,0.3612,0.238,0.0,0.762,positive
waterfall straight to the beach amazed cool,0.7506,0.649,0.0,0.351,positive
madura island tourist attraction waterfall thought madura tourist attraction limestone hills madura beach tourist attraction amazed one of the toro waterfalls,0.9042,0.418,0.0,0.582,positive
happy,0.5719,1.0,0.0,0.0,positive
beautiful beautiful,0.8316,1.0,0.0,0.0,positive
toro waterfall one madura waterfall the source of natural spring water goes straight down to the sea the location of the waterfall is east ketapang village ketapang sub-district head sampang madura district roadside location easy for tourists to visit,0.743,0.169,0.0,0.831,positive
pretty swimming,0.4939,0.762,0.0,0.238,positive
really good,0.4927,0.762,0.0,0.238,positive
happy beautiful atmosphere,0.8225,0.884,0.0,0.116,positive
solid,0.1531,1.0,0.0,0.0,positive
"the view is fun, the waterfall goes directly to the sea, there are many mountain waterfalls and the sea",0.5106,0.155,0.0,0.845,positive
beautiful sorry,0.5574,0.75,0.25,0.0,positive
nice photo,0.4215,0.737,0.0,0.263,positive
beautiful view difficult parking support recreation beach right sea sand quarry,0.6249,0.386,0.146,0.468,positive
"good spot for photos on the seafront, clean waterfall, complete with cheap ticket meals",0.6808,0.318,0.0,0.682,positive
it's good to be disappointed playing here,0.1531,0.398,0.263,0.339,positive
"a comfortable place to eat, quite a serving menu, seaside view of eating dishes",0.5106,0.202,0.0,0.798,positive
holiday recommendations,0.4019,0.73,0.0,0.27,positive
"nice place, cool entrance, free to pay for parking, try to take a photo of the view waterfall, the location is near the toilet",0.7906,0.282,0.047,0.671,positive
"Pull the pleasure of eating on the lesehan, rest the contents of the stomach with a view of the beach",0.5719,0.163,0.0,0.837,positive
beautiful panorama suitable for recreation,0.5994,0.494,0.0,0.506,positive
happy happy,0.8126,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
beautiful,0.5994,1.0,0.0,0.0,positive
pretty cool,0.6705,1.0,0.0,0.0,positive
fun Santa enjoys the beautiful waves of the gurgling waterfall,0.8885,0.6,0.0,0.4,positive
"good view, honey, sea waterfall, cheap entrance ticket price, care for garbage flower, expensive parking price, measuring tourism object motorbikes, please forget to like",0.8402,0.343,0.06,0.597,positive
really good for relaxing sea photo spots,0.7688,0.571,0.0,0.429,positive
"roadside location, easy to find, stop for a moment, enjoy the atmosphere of a waterfall falling by the beach",0.5106,0.245,0.153,0.602,positive
"the location, km from the Suramadu bridge, the road is pretty good, quiet, too bored, the road, the location directly parks, charges for entering the water location",0.4404,0.183,0.126,0.691,positive
amazed the place is good for natural baths,0.8225,0.632,0.0,0.368,positive
"good view, honey, sea waterfall, cheap entrance ticket price, care for garbage flower, expensive parking price, measuring tourism object motorbikes, please forget to like",0.8402,0.343,0.06,0.597,positive
beautiful view,0.5994,0.796,0.0,0.204,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
oke water falling into sea that cool would better swimming area instead of selfie point but for area oke henti check for mins,0.3182,0.145,0.052,0.803,positive
Good,0.4404,1.0,0.0,0.0,positive
peaceful cool atmosphere,0.6705,0.846,0.0,0.154,positive
nice cool place,0.6249,0.836,0.0,0.164,positive
hypnotic view of nature's beautiful eyes,0.5994,0.438,0.0,0.562,positive
beautiful exotic fresh water waterfall directly in front of the beach waves,0.7351,0.383,0.0,0.617,positive
"beautiful waterfall, nice view of the sea, just disappointed there",0.5574,0.399,0.185,0.417,positive
toro waterfall tour river water straight to the sea waterfall good place to see tickets greetings from jember hopefully depa is cool toro waterfall,0.891,0.399,0.0,0.601,positive
nice waterfall view,0.4215,0.583,0.0,0.417,positive
nice safe place,0.6908,0.851,0.0,0.149,positive
really exciting,0.5413,0.777,0.0,0.223,positive
"Looking at nature, it's good, it's cheap, it's a very festive Madura holiday",0.8464,0.478,0.0,0.522,positive
"on the madura visit list, it's rare, waterfalls go directly to the sea, nice to enjoy the afternoon, enjoy the sunset, put your visiting list madura rare",0.8481,0.277,0.0,0.723,positive
beautiful photo object,0.5994,0.661,0.0,0.339,positive
Good,0.4404,1.0,0.0,0.0,positive
place beautiful convenience,0.5994,0.661,0.0,0.339,positive
restaurant cheap prices heart points waterfall road slippery road rainy season,0.5994,0.29,0.09,0.621,positive
Good,0.4404,1.0,0.0,0.0,positive
good atmosphere,0.4404,0.744,0.0,0.256,positive
It's good to pay for the bag,0.3612,0.312,0.151,0.538,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
beautiful beautiful,0.8316,1.0,0.0,0.0,positive
very good,0.4927,0.762,0.0,0.238,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful view,0.5994,0.796,0.0,0.204,positive
nice place cafee toilet,0.4215,0.483,0.0,0.517,positive
nice beautiful waterfall straight down the sea,0.8225,0.683,0.0,0.317,positive
nice waterfall with a nice beach fast waterfall with low tide,0.5423,0.357,0.134,0.51,positive
beautiful,0.5994,1.0,0.0,0.0,positive
pretty clean comfortable,0.8481,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
good paid parking,0.4404,0.592,0.0,0.408,positive
nanam cool nice photo rain sea trash broken eyes,0.25,0.359,0.218,0.423,positive
natural clean,0.6369,1.0,0.0,0.0,positive
"manage the facilities in terms of support, pull and visit when conditions are lazy",0.0516,0.157,0.145,0.698,positive
"Tourism with panoramic views of beautiful waterfalls, estuaries, lips of the north coast of Madura Island, is suitable for tourism",0.5994,0.17,0.0,0.83,positive
nice view of the northern sun,0.4215,0.359,0.0,0.641,positive
"the view of nature is quite beautiful, Titi Ketapang Waterfall",0.6361,0.318,0.0,0.682,positive
calm,0.3182,1.0,0.0,0.0,positive
perfect,0.5719,1.0,0.0,0.0,positive
still love it,0.6369,0.677,0.0,0.323,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
nice unique natural,0.6486,0.841,0.0,0.159,positive
nice view of the high waterfall,0.4215,0.359,0.0,0.641,positive
still love it,0.6369,0.677,0.0,0.323,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful,0.5994,1.0,0.0,0.0,positive
suitable for refreshing lost calm mind due to busy solutions,0.1779,0.301,0.173,0.526,positive
nice waterfall straight down the sea coast,0.5719,0.485,0.0,0.515,positive
solid,0.1531,1.0,0.0,0.0,positive
"blue green water is good, the motorbike is still good",0.7003,0.42,0.0,0.58,positive
beautiful,0.5994,1.0,0.0,0.0,positive
nice place,0.4215,0.737,0.0,0.263,positive
nice waterfall watch wide recreation,0.4215,0.412,0.0,0.588,positive
natural tourism,0.3612,0.714,0.0,0.286,positive
really good for relaxing sea photo spots,0.7688,0.571,0.0,0.429,positive
"free rb entrance ticket, rock, cloudy waterfall water",0.5106,0.32,0.0,0.68,positive
"waterfall, direct sea flow, combined, beautiful sunset",0.5994,0.394,0.0,0.606,positive
beautiful view difficult parking support recreation beach right sea sand quarry,0.6249,0.386,0.146,0.468,positive
"Cool tours, really recommendations for visiting ice culinary delights by moving on with your ex's life",0.6486,0.275,0.0,0.725,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful,0.5994,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
I really like waterfalls,0.4201,0.482,0.0,0.518,positive
splash sea waterfall falls cool water,0.3182,0.315,0.0,0.685,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
"good view, write toro waterfall for photographers capture waterfall disturbing icon write toilet ready",0.2732,0.274,0.168,0.558,positive
Good,0.4404,1.0,0.0,0.0,positive
great toro waterfall,0.6249,0.672,0.0,0.328,positive
worth a visit,0.2263,0.487,0.0,0.513,positive
take care,0.4939,0.762,0.0,0.238,positive
natural waterfall crystal clear falling sea,0.5423,0.526,0.165,0.309,positive
holiday recommendations,0.4019,0.73,0.0,0.27,positive
Hmmm beautiful,0.5994,0.796,0.0,0.204,positive
calm beautiful suitable couple hehehe take the world's beautiful fish on holiday,0.9153,0.615,0.0,0.385,positive
good place visit recommendation,0.4404,0.492,0.0,0.508,positive
beautiful waterfall fairly rare easy access with parking above,0.7783,0.493,0.0,0.507,positive
easy to reach clean comfortable,0.8402,0.909,0.0,0.091,positive
happy friend there,0.7845,0.873,0.0,0.127,positive
"wrong place to go there, good place, hope there is a suggestion to play water object photos",0.6249,0.337,0.128,0.535,positive
solid,0.1531,1.0,0.0,0.0,positive
look good and taste cool,0.6369,0.634,0.0,0.366,positive
nice view of the northern sun,0.4215,0.359,0.0,0.641,positive
"suitable for a coffee break, a beautiful place for selfies",0.5994,0.302,0.0,0.698,positive
panorama of waterfalls straight to the sea amazed photo fun heart rainy season slippery rocks,0.9062,0.527,0.054,0.418,positive
"beautiful toro waterfall, waterfall that falls straight to the sea, beautiful view, delicious, beautiful waterfall, off the sea, good photo spots",0.9648,0.574,0.0,0.426,positive
easy access to the impression of love for the hot weather coast,0.8402,0.5,0.0,0.5,positive
Waterfall tour by the beach is cool during the day and the atmosphere is cool,0.5574,0.261,0.0,0.739,positive
nice fleece prewedding,0.4215,0.583,0.0,0.417,positive
Good,0.4404,1.0,0.0,0.0,positive
worth a visit,0.2263,0.487,0.0,0.513,positive
nice waterfall view,0.4215,0.583,0.0,0.417,positive
cool abiss cuyyy,0.3182,0.535,0.0,0.465,positive
Satisfied parking is expensive,0.4215,0.483,0.0,0.517,positive
it's really good to have Madura holidays together,0.6997,0.491,0.0,0.509,positive
nice place,0.4215,0.737,0.0,0.263,positive
Good,0.4404,1.0,0.0,0.0,positive
oke water falling into sea that cool would better swimming area instead of selfie point but for area oke henti check for mins,0.3182,0.145,0.052,0.803,positive
very good,0.4927,0.762,0.0,0.238,positive
great,0.6249,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
really good clean water,0.7328,0.755,0.0,0.245,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful,0.5994,1.0,0.0,0.0,positive
happy happy,0.8126,1.0,0.0,0.0,positive
beautiful seaside waterfall,0.5994,0.661,0.0,0.339,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful before sunset,0.5994,0.661,0.0,0.339,positive
"God, your creation is so beautiful",0.8122,0.737,0.0,0.263,positive
good panorama creativity plus beach area plus facilities,0.6705,0.478,0.0,0.522,positive
touch clean,0.4019,0.73,0.0,0.27,positive
solid,0.1531,1.0,0.0,0.0,positive
takjub place for landscape lover,0.5859,0.487,0.0,0.513,positive
handsome,0.4939,1.0,0.0,0.0,positive
"it's nice to take a short break, the scenery is pretty good, cheap",0.836,0.471,0.0,0.529,positive
convenient place easy to reach,0.4588,0.571,0.0,0.429,positive
Good,0.4404,1.0,0.0,0.0,positive
nice place,0.4215,0.737,0.0,0.263,positive
nice view relax,0.6908,0.851,0.0,0.149,positive
"the view is beautiful, cool, the atmosphere is on the seafront, only the waterfall is in the rainy season",0.7096,0.264,0.055,0.681,positive
beautiful,0.5994,1.0,0.0,0.0,positive
the place is strategically beautiful,0.5994,0.494,0.0,0.506,positive
good atmosphere,0.4404,0.744,0.0,0.256,positive
Good,0.4404,1.0,0.0,0.0,positive
hidden place worth quiet from crowds though accessible any vehicles that special,0.5574,0.315,0.0,0.685,positive
bagus location fresh but hottest place,0.1655,0.248,0.0,0.752,positive
so beautiful,0.6361,0.807,0.0,0.193,positive
such peaceful beautiful place go here sunset which unfortunately cannot sunset went rainy season but taking picture here blue hour also bagus spent night here,0.4517,0.2,0.06,0.74,positive
"the view is fun, the waterfall goes directly to the sea, there are many mountain waterfalls and the sea",0.5106,0.155,0.0,0.845,positive
"Cheap entrance tickets to Nice Beach, Waterfall adds to the rare panorama, Rarely, Jung water, Kisar Beach, Batu Karang Beach, Nice selfie",0.6808,0.219,0.0,0.781,positive
"simple cool tour, good selfie photos, admission ticket price is only",0.6369,0.366,0.0,0.634,positive
love the sne beach waterfall tour,0.6369,0.457,0.0,0.543,positive
peaceful cool atmosphere,0.6705,0.846,0.0,0.154,positive
splash sea waterfall falls cool water,0.3182,0.315,0.0,0.685,positive
a beautiful clean place to enjoy the sunset on Madura Island,0.8689,0.551,0.0,0.449,positive
easy to find location,0.4404,0.492,0.0,0.508,positive
happy beautiful atmosphere,0.8225,0.884,0.0,0.116,positive
"it's pretty refreshing, the spots are draining",0.4939,0.348,0.0,0.652,positive
Good,0.4404,1.0,0.0,0.0,positive
"wide parking lot, great view",0.6249,0.506,0.0,0.494,positive
"Cool tours, really recommendations for visiting ice culinary delights by moving on with your ex's life",0.6486,0.275,0.0,0.725,positive
Hmmm beautiful,0.5994,0.796,0.0,0.204,positive
good travel,0.4404,0.744,0.0,0.256,positive
pretty good,0.7269,1.0,0.0,0.0,positive
very natural waterfall by the beach please keep it original dirty trash,0.5413,0.404,0.159,0.437,positive
cool comfortable happy rides,0.8519,0.903,0.0,0.097,positive
pretty beautiful location,0.7964,0.877,0.0,0.123,positive
Good,0.4404,1.0,0.0,0.0,positive
wow,0.5859,1.0,0.0,0.0,positive
cool culinary entry ticket destinations are really cheap,0.3182,0.247,0.0,0.753,positive
"suitable for a coffee break, a beautiful place for selfies",0.5994,0.302,0.0,0.698,positive
good means of support,0.6808,0.737,0.0,0.263,positive
"easy access to the road, paying for parking, a clean place, good for photos, really cool, near the IG waterfall",0.8777,0.409,0.0,0.591,positive
love nature suitable after rain please be careful,0.7964,0.618,0.0,0.382,positive
different dirty photos,-0.4404,0.0,0.592,0.408,negative
criticism,-0.4404,0.0,1.0,0.0,negative
good but scary,-0.5187,0.269,0.593,0.138,negative
visit madura arrived here quite bagus place but access go bit hard bc we stepped hidup root,-0.1531,0.0,0.091,0.909,negative
"north coast of madura, complete stop by toro waterfall, right in east ketapang, sampang district, the waterfall immediately falls into the sea, one madura rest, parking area, eat toilet",-0.296,0.0,0.073,0.927,negative
parking attendant malak the pretext of entrusting the helmet helmet lost the risk of being arrested parking attendant put the post entrusted pay mala entrust mode forced disappointed,-0.9042,0.048,0.397,0.556,negative
okay parking facilities dirty water logistics,-0.25,0.216,0.33,0.455,negative
"access there is difficult unfortunately the road is ugly narrow at night, dark lights",-0.802,0.0,0.427,0.573,negative
disappointed,-0.4767,0.0,1.0,0.0,negative
bagus waterfall with view of sea rekomendasi stopping madura close proximity main road large parking area,-0.1531,0.0,0.096,0.904,negative
place to suck,-0.4404,0.0,0.592,0.408,negative
"disappointed, good afternoon view, sunset sunrise view",-0.0516,0.264,0.282,0.455,negative
photo spots to get bored,-0.2732,0.0,0.344,0.656,negative
"looking at the waterfall, doubtful, the waterfall is high, meters, walk for a while, park the waterfall, immediately need trekking",-0.34,0.0,0.112,0.888,negative
"it's really good, it's a shame the waterfall road is badly damaged, please be kind",-0.0534,0.329,0.337,0.333,negative
dirty brown waterfall,-0.4404,0.0,0.592,0.408,negative
muddy water in the rainy season the volume of water is afraid,-0.0772,0.0,0.106,0.894,negative
place flood sad nice horror advice rainy season sunset waterfall beach,-0.6486,0.156,0.453,0.391,negative
criticism,-0.4404,0.0,1.0,0.0,negative
the flow of the waterfall is really fast in the rainy season,-0.0772,0.0,0.106,0.894,negative
the flow of the waterfall is really fast in the rainy season,-0.0772,0.0,0.106,0.894,negative
muddy water in the rainy season the volume of water is afraid,-0.0772,0.0,0.106,0.894,negative
entrance ticket pay for parking afa culinary,-0.1027,0.0,0.189,0.811,negative
"it's really good, it's a shame the waterfall road is badly damaged, please be kind",-0.0534,0.329,0.337,0.333,negative
photo spots to get bored,-0.2732,0.0,0.344,0.656,negative
"Look at the beauty of the land, consider the waterfall to go down to the sea, the water of the waterfall is dirty, dirty, and guarded",-0.25,0.117,0.178,0.706,negative
go there and eat the victim,-0.2732,0.0,0.296,0.704,negative
place to suck,-0.4404,0.0,0.592,0.408,negative
"it's scary when it's raining stones, the road is slippery",-0.4939,0.0,0.262,0.738,negative
"toro waterfall is a must-visit tour for tourists, the location of the dangers of waterfalls, unfortunately, toro waterfalls know the people of toro pull waterfalls",-0.6808,0.0,0.196,0.804,negative
"Sumenep North Waterfall Need to fight through the forest is quiet, the road is Jalan Ketapang, Malan stays at gas station, one homestay, morning water",-0.3818,0.0,0.098,0.902,negative
very loss kereeenn,-0.3804,0.0,0.565,0.435,negative
good but scary,-0.5187,0.269,0.593,0.138,negative
no swimming,-0.296,0.0,0.688,0.312,negative
"damn, the sunset is really bad",-0.7574,0.0,0.619,0.381,negative
"based on the results of interviews with the residents of Toro Waterfall, save the story of the husband and wife, Sayyid Abdullah Siti Marwah, Buju Panyeppen, the wife's grave, the husband's grave",-0.25,0.086,0.139,0.775,negative
the flow of the waterfall is really fast in the rainy season,-0.0772,0.0,0.106,0.894,negative
"north coast of madura, complete stop by toro waterfall, right in east ketapang, sampang district, the waterfall immediately falls into the sea, one madura rest, parking area, eat toilet",-0.296,0.0,0.073,0.927,negative
dirty ugly,-0.7351,0.0,1.0,0.0,negative
Toro waterfall swimming must be swimming towards the beach trough tel. The victim violated the written order of the beach area,-0.6705,0.0,0.224,0.776,negative
difficult sea fall waterfall,-0.3612,0.0,0.455,0.545,negative
criticism,-0.4404,0.0,1.0,0.0,negative
nice disappointed there,-0.0772,0.406,0.449,0.145,negative
difficult sea fall waterfall,-0.3612,0.0,0.455,0.545,negative
"it's scary when it's raining stones, the road is slippery",-0.4939,0.0,0.262,0.738,negative
dumbfounded,-0.3818,0.0,1.0,0.0,negative
dirty place,-0.4404,0.0,0.744,0.256,negative
I drowned again,-0.5994,0.0,0.661,0.339,negative
disappointed,-0.4767,0.0,1.0,0.0,negative
cramped dirty,-0.4404,0.0,0.744,0.256,negative
pay parking stalls welcome toilet advice bathing waterfall category in danger sharp coral bwt gkbs swimming want to bathe mending beach,-0.128,0.165,0.184,0.651,negative
go there and eat the victim,-0.2732,0.0,0.296,0.704,negative
the location of the roadside in the rainy season is muddy and slippery,-0.0772,0.0,0.098,0.902,negative
place flood sad nice horror advice rainy season sunset waterfall beach,-0.6486,0.156,0.453,0.391,negative
"disappointed, good afternoon view, sunset sunrise view",-0.0516,0.264,0.282,0.455,negative
annoying trash,-0.4019,0.0,0.73,0.27,negative
pay,-0.1027,0.0,1.0,0.0,negative
place flood sad nice horror advice rainy season sunset waterfall beach,-0.6486,0.156,0.453,0.391,negative
bagus waterfall with view of sea rekomendasi stopping madura close proximity main road large parking area,-0.1531,0.0,0.096,0.904,negative
pay parking stalls welcome toilet advice bathing waterfall category in danger sharp coral bwt gkbs swimming want to bathe mending beach,-0.128,0.165,0.184,0.651,negative
"toro waterfall is a must-visit tour for tourists, the location of the dangers of waterfalls, unfortunately, toro waterfalls know the people of toro pull waterfalls",-0.6808,0.0,0.196,0.804,negative
"it's scary when it's raining stones, the road is slippery",-0.4939,0.0,0.262,0.738,negative
bagus waterfall with view of sea rekomendasi stopping madura close proximity main road large parking area,-0.1531,0.0,0.096,0.904,negative
"access there is difficult unfortunately the road is ugly narrow at night, dark lights",-0.802,0.0,0.427,0.573,negative
dirty clean guard area,-0.0516,0.355,0.382,0.263,negative
wrong uni waterfall straight beautiful sea flow spoiled the eye wrong tour reliable unit sampang district madura seldom meet,-0.1027,0.215,0.23,0.556,negative
place to suck,-0.4404,0.0,0.592,0.408,negative
the flow of the waterfall is really fast in the rainy season,-0.0772,0.0,0.106,0.894,negative
place to suck,-0.4404,0.0,0.592,0.408,negative
nice disappointed there,-0.0772,0.406,0.449,0.145,negative
muddy water in the rainy season the volume of water is afraid,-0.0772,0.0,0.106,0.894,negative
dirty place,-0.4404,0.0,0.744,0.256,negative
bagus waterfall with view of sea rekomendasi stopping madura close proximity main road large parking area,-0.1531,0.0,0.096,0.904,negative
pay parking stalls welcome toilet advice bathing waterfall category in danger sharp coral bwt gkbs swimming want to bathe mending beach,-0.128,0.165,0.184,0.651,negative
place to suck,-0.4404,0.0,0.592,0.408,negative
"toro waterfall is a must-visit tour for tourists, the location of the dangers of waterfalls, unfortunately, toro waterfalls know the people of toro pull waterfalls",-0.6808,0.0,0.196,0.804,negative
loss,-0.3182,0.0,1.0,0.0,negative
dumbfounded,-0.3818,0.0,1.0,0.0,negative
"Look at the beauty of the land, consider the waterfall to go down to the sea, the water of the waterfall is dirty, dirty, and guarded",-0.25,0.117,0.178,0.706,negative
place to suck,-0.4404,0.0,0.592,0.408,negative
disappointed,-0.4767,0.0,1.0,0.0,negative
murky loss,-0.3182,0.0,0.697,0.303,negative
nice disappointed there,-0.0772,0.406,0.449,0.145,negative
"disappointed, good afternoon view, sunset sunrise view",-0.0516,0.264,0.282,0.455,negative
nice by the highway unfortunately dirty water mixed with brown trash,-0.3612,0.174,0.329,0.497,negative
wrong uni waterfall straight beautiful sea flow spoiled the eye wrong tour reliable unit sampang district madura seldom meet,-0.1027,0.215,0.23,0.556,negative
criticism,-0.4404,0.0,1.0,0.0,negative
dirty brown waterfall,-0.4404,0.0,0.592,0.408,negative
entrance ticket pay for parking afa culinary,-0.1027,0.0,0.189,0.811,negative
disappointed,-0.4767,0.0,1.0,0.0,negative
bagus waterfall with view of sea rekomendasi stopping madura close proximity main road large parking area,-0.1531,0.0,0.096,0.904,negative
dirty photo trash trash street evaluation,-0.4404,0.0,0.367,0.633,negative
"damn, the sunset is really bad",-0.7574,0.0,0.619,0.381,negative
rainy season dirty water,-0.4939,0.0,0.677,0.323,negative
"When it's hot, pay for the waterfall facing the open sea",-0.1027,0.0,0.123,0.877,negative
unique water drop into sea directly but river used local pungent smell noticeable,-0.1406,0.0,0.114,0.886,negative
"north coast of madura, complete stop by toro waterfall, right in east ketapang, sampang district, the waterfall immediately falls into the sea, one madura rest, parking area, eat toilet",-0.296,0.0,0.073,0.927,negative
dumbfounded,-0.3818,0.0,1.0,0.0,negative
"photo spots for entrance tickets only pay for car parking, rb motorbikes, rb prayer rooms for toilets",-0.1027,0.0,0.08,0.92,negative
pay,-0.1027,0.0,1.0,0.0,negative
different dirty photos,-0.4404,0.0,0.592,0.408,negative
"looking at the waterfall, doubtful, the waterfall is high, meters, walk for a while, park the waterfall, immediately need trekking",-0.34,0.0,0.112,0.888,negative
annoying trash,-0.4019,0.0,0.73,0.27,negative
"photo spots for entrance tickets only pay for car parking, rb motorbikes, rb prayer rooms for toilets",-0.1027,0.0,0.08,0.92,negative
cramped dirty,-0.4404,0.0,0.744,0.256,negative
annoying trash,-0.4019,0.0,0.73,0.27,negative
"north coast of madura, complete stop by toro waterfall, right in east ketapang, sampang district, the waterfall immediately falls into the sea, one madura rest, parking area, eat toilet",-0.296,0.0,0.073,0.927,negative
pay,-0.1027,0.0,1.0,0.0,negative
"looking at the waterfall, doubtful, the waterfall is high, meters, walk for a while, park the waterfall, immediately need trekking",-0.34,0.0,0.112,0.888,negative
place to suck,-0.4404,0.0,0.592,0.408,negative
bagus waterfall with view of sea rekomendasi stopping madura close proximity main road large parking area,-0.1531,0.0,0.096,0.904,negative
dirty ugly,-0.7351,0.0,1.0,0.0,negative
"photo spots for entrance tickets only pay for car parking, rb motorbikes, rb prayer rooms for toilets",-0.1027,0.0,0.08,0.92,negative
What rubbish are you disappointed?,-0.4767,0.0,0.437,0.563,negative
bagus waterfall with view of sea rekomendasi stopping madura close proximity main road large parking area,-0.1531,0.0,0.096,0.904,negative
annoying trash,-0.4019,0.0,0.73,0.27,negative
dirty place,-0.4404,0.0,0.744,0.256,negative
disappointed,-0.4767,0.0,1.0,0.0,negative
"When it's hot, pay for the waterfall facing the open sea",-0.1027,0.0,0.123,0.877,negative
dirty clean guard area,-0.0516,0.355,0.382,0.263,negative
although distance from surabaya here god damn around kilometers but believe that worth waterfall drop directly into sea unique but remember can swim hole below waterfall,-0.1531,0.128,0.148,0.724,negative
disappointed,-0.4767,0.0,1.0,0.0,negative
nice waterfall scenery straight to the sea estuary gag disappointed,-0.2023,0.29,0.34,0.37,negative
"Sumenep North Waterfall Need to fight through the forest is quiet, the road is Jalan Ketapang, Malan stays at gas station, one homestay, morning water",-0.3818,0.0,0.098,0.902,negative
long drive from bangkal with uneven surface dirty murky water not space take photos wasn expecting that actually worst than photos hidup google search would not recommend place for visit,-0.8446,0.0,0.252,0.748,negative
pay parking stalls welcome toilet advice bathing waterfall category in danger sharp coral bwt gkbs swimming want to bathe mending beach,-0.128,0.165,0.184,0.651,negative
What rubbish are you disappointed?,-0.4767,0.0,0.437,0.563,negative
criticism,-0.4404,0.0,1.0,0.0,negative
